,Action,Transaction Date,Time,Ticker,Name,No. of shares,Price / share,Currency (Price / share),Exchange rate,Result of Sell,Currency (Result),Total (GBP),Currency (Total),Total USD,Withholding tax,Currency (Withholding tax),Charge amount,Currency (Charge amount),Stamp duty reserve tax,Currency (Stamp duty reserve tax),Price / Share (GBP)
0,Deposit,2020-04-30,17:20:49,,,,,,,,,1000.0,GBP,,,,1000,GBP,,,
1,Market buy,2020-04-30,17:21:18,PBCT,People's United Financial,50.0,12.76,USD,1.25847,,GBP,506.96,GBP,,,,,,,,10.139296129427002
2,Deposit,2020-05-04,10:43:01,,,,,,,,,9.35,GBP,,,,9.35,GBP,,,
3,Market buy,2020-05-04,10:43:01,NG,National Grid,1.0,929.8,GBX,100.0,,GBP,9.34,GBP,,,,,,0.05,GBP,9.298
4,Market buy,2020-05-04,15:39:01,T,AT&T,15.0,29.34,USD,1.24252,,GBP,354.19,GBP,,,,,,,,23.61330199916299
5,Deposit,2020-05-11,17:17:25,,,,,,,,,500.0,GBP,,,,500,GBP,,,
6,Market buy,2020-05-11,17:17:53,META,Meta Platforms,2.5,213.32,USD,1.23427,,GBP,432.07,GBP,,,,,,,,172.83090409715865
7,Deposit,2020-05-18,17:55:13,,,,,,,,,500.0,GBP,,,,500,GBP,,,
8,Market buy,2020-05-18,17:55:24,WELL,Welltower,15.0,44.68,USD,1.2196,,GBP,549.51,GBP,,,,,,,,36.63496228271564
9,Deposit,2020-05-28,20:23:35,,,,,,,,,1000.0,GBP,,,,1000,GBP,,,
10,Market buy,2020-05-29,13:30:16,META,Meta Platforms,2.5,225.42,USD,1.23391,,GBP,456.71,GBP,,,,,,,,182.6875541976319
11,Market buy,2020-05-29,13:30:22,EXPE,Expedia,8.0,78.6,USD,1.23403,,GBP,509.55,GBP,,,,,,,,63.6937513674708
12,Deposit,2020-06-02,20:19:54,,,,,,,,,320.0,GBP,,,,320,GBP,,,
13,Market buy,2020-06-03,13:31:06,NET,Cloudflare,20.0,30.55,USD,1.25616,,GBP,486.4,GBP,,,,,,,,24.32015029932493
14,Deposit,2020-06-04,23:42:38,,,,,,,,,520.0,GBP,,,,520,GBP,,,
15,Market buy,2020-06-05,13:32:00,AVGO,Broadcom,2.0,320.0,USD,1.26977,,GBP,504.03,GBP,,,,,,,,252.0141442938485
