Ticker, Rating With News, Rating Without News
AAPL, Sell, Hold
MSFT, Hold, Hold
AMZN, Hold, Hold 
GOOGL, Hold, Hold
TSLA, Sell, Sell 
META, Hold, Hold 
AVGO, Hold, Hold 
V, Hold, Hold 
MA, Hold, Hold 
ORCL, Hold, Sell 
UNH, Hold, Hold 
XOM, Hold, Hold 
NVDA, Hold, Hold
NFLX, Hold, Hold
JPM, Hold, Hold
COST, Hold, Hold
BKNG, Hold, Hold
DIS, Hold, Sell
CVS, Hold, Hold
PM, Hold, Hold
COR, Hold, Sell
T, Hold, Hold
LMT, Hold, Hold
DG, Hold, Hold
PLTR, Sell, Sell
VST, Hold, Hold
PYPL, Hold, Hold
F, Sell, Sell
AMD, Sell, Hold
ADBE, Hold, Hold
FDX, Sell, Hold
UPS, Hold, Hold
WMT, Hold, Hold
SPGI, Hold, Hold
CRM, Hold, Hold
BAC, Hold, Hold
AXP, Hold, Hold
MCD, Hold, Hold
KO, Hold, Hold
PEP, Hold, Hold
