Ticker, Rating With News, Rating Without News
UBER, Buy, Buy
SPGI, Buy, Buy
AXP, Hold, Hold
AAPL, Sell, Hold
MSFT, Hold, Hold
NVDA, Hold, Hold
AMD, Sell, Sell
CVS, Buy, Hold
AMZN, Hold, Hold
GOOGL, Hold, Hold
META, Hold, Buy
TSLA, Sell, Sell
PM, Hold, Sell
COR, Hold, Sell
T, Hold, Hold
V, Buy, Buy
MA, Buy, Hold
JPM, Hold, Hold
ADBE, Hold, Hold
AVGO, Hold, Hold
ORCL, Hold, Sell
FDX, Sell, Sell
UPS, Sell, Sell
XOM, Hold, Hold
PYPL, Sell, Sell
VST, Sell, Hold
COST, Buy, Hold
BKNG, Hold, Hold
MCD, Hold, Hold
UNH, Buy, Buy
KO, Hold, Hold
PEP, Hold, Hold
WMT, Hold, Hold
PLTR, Sell, Sell
LMT, Hold, Hold
F, Sell, Hold
DIS, Sell, Sell
DG, Hold, Hold
BAC, Hold, Hold
ORCL, Hold, Hold
NFLX, Buy, Hold
