,Price,Price/Earnings,Dividend Yield,Earnings/Share,52 Week Low,52 Week High,Market Cap,EBITDA,Price/Sales,Price/Book,Consensus
0,152.2,21.286713,0.0199,7.15,75.652176,155.0,83294183424.0,8117000192.0,2.5520616,17.855467,Buy
1,67.3,18.539946,0.0196,3.63,66.76,92.45,9758164992.0,809100032.0,2.5060778,5.091157,Buy
2,127.93,16.744764,0.0202,7.64,99.71,129.85,221889478656.0,10824999936.0,5.3834457,5.5757494,Buy
3,183.9,64.3007,0.0373,2.86,153.58,207.32,324977033216.0,25629999104.0,5.8519626,53.88221,Buy
4,384.95,32.294464,0.017,11.92,278.69,387.51,240778526720.0,11065912320.0,3.7101948,8.508687,Buy
5,437.45,35.42105,0.02094,12.35,403.75,638.25,190421991424.0,8134000128.0,9.090657,13.383815,Buy
6,115.95,105.40909,0.020940000000000004,1.1,112.8,227.3,192886292480.0,4479000064.0,7.939341,3.3023837,Buy
7,11.0,7.6388884,0.0615,1.44,10.81,22.21,7821297152.0,3334000128.0,0.63670605,2.3773503,Buy
8,107.38,15.955423,0.0214,6.73,75.44,115.5,59652595712.0,4779250176.0,3.4477284,2.4075692,Hold
9,151.52,34.126125,0.026539999999999998,5.6659999999999995,124.16,155.35,43273355264.0,4830546713.6,2.63347633,8.90523864,Buy
10,335.26,19.469223,0.0214,17.22,212.24,337.775,74554785792.0,4296600064.0,6.1612473,4.380537,Buy
11,131.17,45.387543,0.012919999999999997,2.89,110.38,170.1,81951334400.0,1672999936.0,7.560086,9.859441,Hold
12,99.9,29.556213,0.0199999996,3.38,84.7,129.17,15007678464.0,1118397952.0,3.7838497,3.1387458,Buy
13,84.19,85.2710874,0.0189,-16.76,71.97,143.19,9895693312.0,-935078016.0,1.5219512,1.2360888,Hold
14,97.35,54.083332,0.051999997,1.8,94.35,130.14,16850505728.0,1905123968.0,5.461276,0.9204281,Buy
15,219.11,37.390785,0.015000000020000001,5.86,196.09,335.4,16357241856.0,820153984.0,4.1300755,4.152799,Buy
16,132.73,20.42,0.014400001,6.5,113.27,156.1,11538124800.0,888400000.0,3.098315,7.3441043,Buy
17,58.88,22.910507,0.0342,2.57,46.8,64.19,15108549632.0,1636999936.0,3.809518,2.168293,Buy
18,192.33,12.432449,0.019,15.47,153.87,209.88,50929561600.0,6192999936.0,0.8157605,2.7001262,Buy
19,204.02,27.09429,0.004,7.53,130.67,205.48,2507303813120.0,123469996032.0,7.377482,7.965486,Buy
20,205.6,27.267906,0.0039,7.54,131.55,207.08,2504763113472.0,123469996032.0,7.3700066,8.027174,Buy
21,52.23,7.8778276,0.0775,6.63,39.25,58.04,88302649344.0,12216000512.0,4.3366394,6.24562438,Buy
22,237.68,50.24947,0.0037399999979999994,4.73,151.61,241.77,2499205136384.0,111583002624.0,4.030144,9.640235,Buy
23,9.72,18.339624,0.0523,0.53,8.78,11.48,14092055552.0,1904000000.0,1.0400041,3.5827498,Buy
24,20.97,66.7598425,0.0335800007,-0.94,18.38,34.5,5102042624.0,433000000.0,0.9084834,1.5398580800000001,Buy
25,94.2,22.164705,0.028499998,4.25,67.03,96.74,25144616960.0,3264000000.0,3.5625699,2.124732,Buy
26,98.36,19.830645,0.0379,4.96,75.22,105.18,52383092736.0,7258299904.0,2.6723068,1.967633,Buy
27,317.45,22.772598,0.0086,13.94,203.0,326.27,223902892032.0,8949399961.6,3.7796535,7.523047,Hold
28,73.66,14.644135,0.0212,5.03,67.96,80.83,45946826752.0,8501000192.0,1.0143012,1.0308154,Buy
29,184.95,44.673912,0.0349,4.14,170.46,243.56,86425100288.0,6966099968.0,7.7388453,23.732836,Buy
30,124.64,24.681187,0.0247,5.05,113.34,150.68,24291588096.0,2408000000.0,5.380197,2.3443112,Hold
31,543.36,21.795425,0.010299999,24.93,381.99,577.89,52271230976.0,5655869184.0,2.9963448,9.243331,Buy
32,184.56,32.09739,0.006,5.75,149.03,198.33,42690203648.0,2138388992.0,6.1776185,4.470064,Buy
33,285.42,36.220814,0.0335,7.88,253.3,346.85,153422675968.0,12247000064.0,4.7157645,20.38132,Buy
34,70.78,36.864582,0.0091,1.92,51.025,79.39,85333073920.0,3586299904.0,5.9956913,9.025759,Buy
35,211.89,64.798164,0.0165,3.27,182.57,244.14,105128370176.0,4361349120.0,10.837489,2.9895453,Buy
36,350.5,53.923077,0.0155200001,6.5,289.82,363.03,30651224064.0,836108992.0,12.420753,5.257001,Hold
37,370.82,31.72113,0.0073,11.69,268.06,395.33,80195756032.0,4295000064.0,5.37289,12.857391,Hold
38,21.93,3.115057,0.0435,7.04,20.32,36.05,8112937984.0,5047000064.0,0.9059674,1.5862569,Hold
39,236.0,37.76,0.0042,6.25,164.08,260.1,3572851277824.0,134660997120.0,9.1369095,62.649323,Buy
40,180.35,21.093567,0.0086,8.55,158.96,255.89,147683934208.0,8204000256.0,5.499513,7.8917427,Buy
41,62.42,7.0056114,0.0336,8.91,51.47,85.56,14786111488.0,3032999936.0,0.74961275,1.6514537,Buy
42,93.07,6.3485675,0.0268600004,14.66,80.97,116.47,35584942080.0,5171999744.0,2.1097374,1.6261313,Buy
43,51.23,14.39045,0.0379,3.56,48.4,66.08,24515297280.0,3988000000.0,0.27617267,1.0890499,Hold
44,115.23,55.39904,0.01244,2.08,60.08,133.575,145162141696.0,2833341952.0,21.950539,3.9239259,Buy
45,301.82,46.505394,0.0087,6.49,230.08,316.72,75395547136.0,3382200064.0,7.067648,5.4349666,Buy
46,215.19,15.381701,0.0146,13.99,160.12,230.55,11036535808.0,1241900032.0,0.93881625,2.1037042,Buy
47,23.73,16.142857,0.048899997,1.47,15.94,24.98,172367593472.0,42773000192.0,1.4121547,1.6633955,Buy
48,142.51,20.8653,0.023699999,6.83,110.46,152.65,22180255744.0,1991972992.0,5.416576,1.8157609,Buy
49,311.34,62.01992,0.0300399998,5.02,195.32,326.62,67096567808.0,1396000000.0,11.55841,35.91832,Buy
