Symbol,Name,Sector,Price,Price/Earnings,Dividend Yield,Earnings/Share,52 Week Low,52 Week High,Market Cap,EBITDA,Price/Sales,Price/Book,Consensus Rating
ABBV,AbbVie,Biotechnology,183.9,64.3007,0.0373,2.86,153.58,207.32,324977033216.0,25629999104.0,5.8519626,53.88221,Buy
ADBE,Adobe Inc.,Application Software,437.45,35.42105,,12.35,403.75,638.25,190421991424.0,8134000128.0,9.090657,13.383815,Buy
AMD,Advanced Micro Devices,Semiconductors,115.95,105.40909,,1.1,112.8,227.3,192886292480.0,4479000064.0,7.939341,3.3023837,Buy
GOOGL,Alphabet Inc. (Class A),Interactive Media & Services,204.02,27.09429,0.004,7.53,130.67,205.48,2507303813120.0,123469996032.0,7.377482,7.965486,Buy
AMZN,Amazon,Broadline Retail,237.68,50.24947,,4.73,151.61,241.77,2499205136384.0,111583002624.0,4.030144,9.640235,Buy
AAPL,Apple Inc.,"Technology Hardware, Storage & Peripherals",236.0,37.76,0.0042,6.25,164.08,260.1,3572851277824.0,134660997120.0,9.1369095,62.649323,Buy
T,AT&T,Integrated Telecommunication Services,23.73,16.142857,0.048899997,1.47,15.94,24.98,172367593472.0,42773000192.0,1.4121547,1.6633955,Buy
BAC,Bank of America,Diversified Banks,46.3,14.423676,0.0221,3.21,32.35,48.08,352382812160.0,,3.7239535,1.308982,Buy
BA,Boeing,Aerospace & Defense,176.52,,,-18.37,137.03,213.77,132251615232.0,-3991000064.0,1.8044237,,Buy
CCL,Carnival,"Hotels, Resorts & Cruise Lines",27.67,19.215277,,1.44,13.78,28.72,37406797824.0,5878000128.0,1.5281179,4.0781136,Buy
CARR,Carrier Global,Building Products,65.38,38.686386,0.0136,1.69,53.13,83.32,59190083584.0,3318000128.0,2.3866007,3.9948673,Buy
CVX,Chevron Corporation,Integrated Oil & Gas,149.19,17.187788,0.0417,8.68,135.37,167.11,278706323456.0,38942998528.0,1.4539505,1.7164257,Buy
